[2020-06-01 08:42:21] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-01 08:43:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?s=
[2020-06-01 08:43:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?ref=tai-lieu
[2020-06-01 08:43:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?ref=blog
[2020-06-01 08:43:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?ref=
[2020-06-01 08:43:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?ref=project
[2020-06-01 08:44:16] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?ref=dich-vu
[2020-06-01 08:44:27] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tim-kiem?s=n
[2020-06-01 08:44:35] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/an-loc-phat.html
[2020-06-01 08:44:37] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/800x300/hoang-trung-5e120a18d113d-5eaaf06357ded.png
[2020-06-01 08:44:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /danh-muc-du-an/outsourcing.html
[2020-06-01 08:44:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /danh-muc-du-an/outsourcing.html
[2020-06-01 08:45:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /dich-vu.html
[2020-06-01 08:45:13] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /danh-muc-du-an/product.html
[2020-06-01 08:45:17] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gioi-thieu.html
[2020-06-01 08:45:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /dich-vu.html
[2020-06-01 08:45:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-06-01 08:45:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/mua-gi-day.html
[2020-06-01 08:45:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/800x300/000-5e120ed904999-5eaaedd17ff65.png
[2020-06-01 08:45:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/mua-gi-day.html
[2020-06-01 08:46:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/800x300/000-5e120ed904999-5eaaedd17ff65.png
[2020-06-01 08:46:15] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /tai-lieu.html
[2020-06-01 08:46:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog.html
[2020-06-01 08:46:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/maxresdefault-5eace425a8749.jpg
[2020-06-01 08:46:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/z23729042020-5eace3c4280f0.jpg
[2020-06-01 08:46:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/screenshot-4-5eace350c6882.png
[2020-06-01 08:47:10] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/google-tim-ra-rat-nhieu-lo-hong-cua-apple.html
[2020-06-01 08:47:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/maxresdefault-5eace425a8749.jpg
[2020-06-01 08:47:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe-laptop-cu-cua-ban-sap-chay-muot-hon.html
[2020-06-01 08:47:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/z23729042020-5eace3c4280f0.jpg
[2020-06-01 08:47:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /danh-muc-du-an/outsourcing.html
[2020-06-01 08:48:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe
