[2020-06-23 00:07:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 00:09:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 00:10:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 00:10:27] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-23 00:10:27] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-23 10:15:27] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 10:18:21] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 10:18:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-23 10:18:27] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-23 10:18:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-23 10:18:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-23 10:18:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 10:18:52] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /
[2020-06-23 10:19:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 10:19:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 10:19:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-23 10:19:13] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-23 10:19:14] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-23 10:19:14] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-23 14:54:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 14:54:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-23 14:54:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 14:54:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-23 14:54:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-23 14:55:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-23 15:13:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 15:13:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-23 15:13:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-23 15:13:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-23 15:13:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-23 15:13:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 23:19:21] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 23:20:16] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 23:22:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 23:22:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 23:24:16] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 23:24:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 23:25:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 23:25:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 23:25:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-23 23:25:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-23 23:25:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-23 23:25:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-23 23:29:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-23 23:29:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-23 23:29:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
