[2020-06-28 10:49:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 10:49:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 10:49:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 14:51:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 14:53:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 14:54:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 14:54:37] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 14:54:37] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 14:55:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 14:55:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 14:55:34] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 14:56:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 14:56:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 14:56:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 14:56:58] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 14:56:58] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 14:56:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 14:56:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:00:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:00:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:00:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 15:00:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 15:00:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 15:00:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:01:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:01:08] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:01:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 15:01:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 15:01:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 15:01:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 15:01:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:03:25] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:03:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:03:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 15:03:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 15:03:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 15:03:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 15:03:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:04:50] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:04:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:04:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 15:04:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
p
[2020-06-28 15:04:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 15:04:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:06:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:06:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:06:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 15:06:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 15:06:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 15:06:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 15:06:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:11:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:11:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:11:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 15:11:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
