[2020-05-13 08:21:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-13 08:23:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/trong-trot-cong-nghe-cao.html
[2020-05-13 08:23:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/720x300/untitled-5e1201c220269-5eaaf22e95696.png
[2020-05-13 08:24:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/trong-trot-cong-nghe-cao.html
[2020-05-13 08:24:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/720x300/untitled-5e1201c220269-5eaaf22e95696.png
[2020-05-13 08:27:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe
[2020-05-13 08:27:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/maxresdefault-5eace425a8749.jpg
[2020-05-13 08:27:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-13 08:28:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 08:29:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/mua-gi-day.html
[2020-05-13 08:29:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/720x300/000-5e120ed904999-5eaaedd17ff65.png
[2020-05-13 08:40:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-13 08:40:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/trong-trot-cong-nghe-cao.html
[2020-05-13 08:40:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/720x300/untitled-5e1201c220269-5eaaf22e95696.png
[2020-05-13 08:41:01] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 08:41:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 08:43:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 08:43:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 08:45:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 08:45:55] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 08:53:24] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 08:53:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 08:58:16] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 08:58:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 09:00:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 09:00:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 09:06:11] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /du-an
[2020-05-13 09:06:12] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 09:08:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 09:08:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 09:41:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 10:02:13] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 10:04:14] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 10:28:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an
[2020-05-13 10:28:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /du-an/mua-gi-day.html
[2020-05-13 10:28:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/projects/720x300/000-5e120ed904999-5eaaedd17ff65.png
[2020-05-13 10:53:39] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 10:54:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 10:59:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 11:00:15] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-13 11:20:24] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-13 11:22:10] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-13 11:22:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 11:24:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-13 11:25:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 11:38:55] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /
[2020-05-13 11:39:02] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 11:39:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 11:40:01] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 15:00:30] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /lien-he.html
[2020-05-13 15:00:41] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 15:03:58] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /lien-he.html
[2020-05-13 15:04:06] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 15:04:40] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /blog/google-tim-ra-rat-nhieu-lo-hong-cua-apple.html
[2020-05-13 15:04:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 15:04:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/maxresdefault-5eace425a8749.jpg
[2020-05-13 15:05:35] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 15:05:38] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-13 15:19:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /lien-he.html
[2020-05-13 15:20:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
