[2020-03-12 23:42:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /login
[2020-03-12 23:42:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
[2020-03-12 23:50:27] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
[2020-03-12 23:50:39] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
[2020-03-12 23:51:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /send-email-reset-password
[2020-03-12 23:52:33] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /reset-password/5e6a6892dc4a5
[2020-03-12 23:53:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /save-reset-password
[2020-03-12 23:53:21] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
[2020-03-12 23:53:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
[2020-03-12 23:57:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
