[2020-06-02 00:22:10] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-02 00:25:33] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /add-service
[2020-06-02 00:26:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /add-service
[2020-06-02 00:31:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /add-service
[2020-06-02 00:32:13] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /add-service
[2020-06-02 00:33:11] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /add-service?service=1
[2020-06-02 00:41:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 10:06:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 10:16:35] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 10:25:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 10:25:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 10:25:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:23:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:23:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:25:33] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:25:34] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:26:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:26:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:28:17] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:28:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:28:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:28:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:36:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:38:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:39:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:48:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:48:21] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:49:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:49:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:49:37] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:49:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=1
[2020-06-02 14:49:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:49:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=2
[2020-06-02 14:49:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:50:10] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=2
[2020-06-02 14:50:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:51:50] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=2
[2020-06-02 14:51:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:52:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=2
[2020-06-02 14:52:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-02 14:53:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=2
