[2020-05-05 16:29:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-05 16:29:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/6.jpg
[2020-05-05 16:30:33] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-05-05 16:30:52] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe-laptop-cu-cua-ban-sap-chay-muot-hon.html
[2020-05-05 16:30:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/2.jpg
[2020-05-05 16:30:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/5.jpg
[2020-05-05 16:30:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:30:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/4.jpg
[2020-05-05 16:30:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/1.jpg
[2020-05-05 16:30:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/6.jpg
[2020-05-05 16:30:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe
[2020-05-05 16:31:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/2.jpg
[2020-05-05 16:31:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/maxresdefault-5eace425a8749.jpg
[2020-05-05 16:31:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/3.jpg
[2020-05-05 16:31:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/1.jpg
[2020-05-05 16:31:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/4.jpg
[2020-05-05 16:31:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:31:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/5.jpg
[2020-05-05 16:31:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/6.jpg
[2020-05-05 16:31:17] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog.html
[2020-05-05 16:31:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/screenshot-4-5eace350c6882.png
[2020-05-05 16:31:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/3.jpg
[2020-05-05 16:31:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/maxresdefault-5eace425a8749.jpg
[2020-05-05 16:31:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/2.jpg
[2020-05-05 16:31:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:31:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/5.jpg
[2020-05-05 16:31:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/6.jpg
