[2020-07-04 10:15:55] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-07-04 10:16:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-04 10:16:08] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-04 10:21:39] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-04 10:21:39] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-04 10:21:40] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-04 10:21:47] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /
[2020-07-04 10:21:49] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/css/bootstrap.min.css.map
[2020-07-04 10:21:51] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/bootstrap.min.js.map
[2020-07-04 10:21:51] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/popper.min.js.map
[2020-07-04 10:21:53] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /cart/check-data
[2020-07-04 10:21:53] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /check-auth
[2020-07-04 10:22:14] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /
[2020-07-04 10:22:15] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/bootstrap.min.js.map
[2020-07-04 10:22:15] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/popper.min.js.map
